horizon,spec,target_type,model,n,start,end,oos_r2,rmse,mae,mean_realized,mean_forecast,robustness
22,daily_bipower,bipower,har4,3163,2013-05-03,2025-11-26,0.0799214820721309,0.006440027334034148,0.001945298379924282,0.002547361550821254,0.0023058264259038716,daily_bipower
22,daily_bipower,bipower,harq,3163,2013-05-03,2025-11-26,0.1443959358100253,0.006210287195794979,0.0017610393867168034,0.002547361550821254,0.002206551577954632,daily_bipower
22,daily_bipower,bipower,harqts,3163,2013-05-03,2025-11-26,0.15170443218046026,0.006183706441728206,0.0018180788114081207,0.002547361550821254,0.0020737617970627005,daily_bipower
66,daily_bipower,bipower,mean,3075,2013-07-08,2025-09-25,0.0,0.013801098062189997,0.005805604212351105,0.007748381768888809,0.006609822619130928,daily_bipower
66,daily_bipower,bipower,q_raw,3075,2013-07-08,2025-09-25,-0.18305929676724486,0.015011251390502004,0.008048805529973614,0.007748381768888809,0.011182593503910416,daily_bipower
66,daily_bipower,bipower,q_mz,3075,2013-07-08,2025-09-25,0.04242452427996202,0.013505172917353293,0.005165555540412497,0.007748381768888809,0.006509882431340623,daily_bipower
66,daily_bipower,bipower,har3,3075,2013-07-08,2025-09-25,0.02251432963706801,0.013644852378389936,0.00554509126361061,0.007748381768888809,0.006827526175321073,daily_bipower
66,daily_bipower,bipower,har4,3075,2013-07-08,2025-09-25,0.0030545312514053125,0.01378000399908441,0.005717797103312594,0.007748381768888809,0.0066255515942148565,daily_bipower
66,daily_bipower,bipower,harq,3075,2013-07-08,2025-09-25,0.0358549663676041,0.01355142063566689,0.0054494020527268185,0.007748381768888809,0.006432853798138855,daily_bipower
66,daily_bipower,bipower,harqts,3075,2013-07-08,2025-09-25,0.04291500954333827,0.013501713693030392,0.00561972915080816,0.007748381768888809,0.006212889353398334,daily_bipower
