horizon,offset,n,r2_mean,r2_q_raw,r2_q_mz,r2_har3,r2_har4,r2_harq,r2_harqts,delta_qmz_qraw,delta_harqts_har4
66,35,47,0.0,-1.0542501927146506,0.3213292638258616,-0.11571059028311792,-0.20219300710682897,0.01060572627787082,0.0629745187087627,1.3755794565405122,0.26516752581559166
66,36,47,0.0,-1.0118803552515598,0.26525174048952826,-0.01344609637907479,-0.08066911569326884,0.02625731136821452,0.04902695260282641,1.277132095741088,0.12969606829609526
66,37,47,0.0,-1.98463885246615,0.19459896440517344,-0.08925079803562497,-0.16259281987924745,-0.19361618359751454,-0.039434470938558785,2.1792378168713236,0.12315834894068867
66,38,47,0.0,-1.494370217258738,0.21960902601003085,0.10558901108651775,0.05631860215757489,0.007575751370582862,0.07696346447201852,1.7139792432687688,0.020644862314443624
66,39,47,0.0,-1.1258764173523592,0.19510708282696176,0.08111847939049532,0.0428373665197016,0.053387015974115326,0.13698530614883675,1.320983500179321,0.09414793962913515
66,40,46,0.0,-0.47297946224424625,0.19061035451542196,0.18650865463249644,0.16465311693475138,0.18526421154370099,0.18537138357183014,0.6635898167596682,0.020718266637078764
66,41,46,0.0,-0.4306653678909156,0.10233261511479153,-0.09976703597127767,-0.15018664884212707,0.055333037328937906,0.0756550363118923,0.5329979830057071,0.22584168515401937
66,42,46,0.0,-0.4797277170119314,0.10306727169299856,0.027627585309407454,-0.002570454598256111,0.07682331122333697,0.03552196411993647,0.58279498870493,0.03809241871819258
66,43,46,0.0,-0.37689859855101737,0.07567009077394382,-0.09029428957198649,-0.13626004090163346,0.04260727204528003,0.02063227716875804,0.4525686893249612,0.1568923180703915
66,44,46,0.0,-0.6309758326963826,0.06848943119262307,-0.0772865942804859,-0.1208841682560875,-0.009671961838044307,-0.04057627792385188,0.6994652638890057,0.08030789033223562
66,45,46,0.0,-0.42407642667171563,0.0642971911037512,-0.08586662061026118,-0.12885157131817881,0.014694315520365708,0.015033935101140483,0.48837361777546684,0.1438855064193193
66,46,46,0.0,-0.3212886374478314,0.05504848801632134,-0.028005256013356128,-0.058569535140383655,0.031153373046903576,0.01755667161141583,0.37633712546415277,0.07612620675179949
66,47,46,0.0,-0.44365459070654367,0.04503195286244421,-0.05335213910400172,-0.0913649461224193,0.026525460648711197,0.0009473504428860746,0.4886865435689879,0.09231229656530537
66,48,46,0.0,-0.2908971503444886,0.04513883680340147,-0.0404645258718741,-0.07220449691762454,0.02953150891191081,0.02319568263732752,0.33603598714789007,0.09540017955495206
66,49,46,0.0,-0.26316207815220216,0.04617388368891295,-0.017688288309003486,-0.045866193160770674,0.04781545362678985,0.04092479510713842,0.3093359618411151,0.0867909882679091
66,50,46,0.0,-0.24234825395055593,0.023267913037332222,-0.1406064451893645,-0.1860448118627236,0.006814792575267403,0.015282607748258181,0.26561616698788815,0.20132741961098177
66,51,46,0.0,-0.2694487520624935,0.02551288369204341,-0.05937412563960809,-0.09634551641636002,0.033817650277469635,0.016282141844952358,0.29496163575453693,0.11262765826131238
66,52,46,0.0,-0.24923036587159997,0.03407915545941087,-0.0668582194025451,-0.09512338502312656,0.02465658661073944,0.004974460076302423,0.28330952133101084,0.10009784509942898
66,53,46,0.0,-0.22329150637727113,0.030634280018151938,-0.044355693129409346,-0.06741754902139063,0.03313941662081088,-0.009465798934014336,0.25392578639542307,0.0579517500873763
66,54,46,0.0,-0.28099109154045876,0.028543373129188532,-0.03487204317298098,-0.05447069814354766,0.03239564012482887,-0.045368874009569904,0.3095344646696473,0.009101824133977754
66,55,46,0.0,-0.17613221267324652,0.006777154322779588,-0.2873187355844562,-0.2970040796170119,-0.1828629143076297,-0.015629633920020813,0.1829093669960261,0.2813744456969911
66,56,46,0.0,-0.38248784240790723,-0.010500837306108401,-0.11004004537225143,-0.11328247922884893,-0.06736797635334946,-0.06471469241701433,0.37198700510179883,0.0485677868118346
66,57,46,0.0,-0.3206922719727636,-0.007094122198133768,-0.049221498339037995,-0.05031956987913455,-0.049406159987465115,-0.04102942650266428,0.31359814977462985,0.009290143376470272
66,58,46,0.0,-0.30112355372761024,-0.012802270044958597,-0.04743265475053571,-0.047260362082296226,-0.051037695074631406,-0.047892165696490796,0.28832128368265164,-0.0006318036141945704
