check,pass,detail
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:11,True,5 & MZ option vs HAR(4) & circular_block_bootstrap & 4 &  & 0.355 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:12,True,5 & MZ option vs HAR(4) & circular_block_bootstrap & 10 &  & 0.328 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:13,True,5 & HAR + option + term vs HAR(4) & HAC & 4 & 1.71 & 0.088 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:14,True,5 & HAR + option + term vs HAR(4) & HAC & 10 & 1.52 & 0.127 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:15,True,5 & HAR + option + term vs HAR(4) & circular_block_bootstrap & 4 &  & 0.051 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:16,True,5 & HAR + option + term vs HAR(4) & circular_block_bootstrap & 10 &  & 0.081 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:18,True,22 & MZ option vs raw option & HAC & 21 & -0.07 & 0.944 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:19,True,22 & MZ option vs raw option & HAC & 27 & -0.07 & 0.942 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:20,True,22 & MZ option vs raw option & HAC & 44 & -0.08 & 0.938 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:21,True,22 & MZ option vs raw option & circular_block_bootstrap & 21 &  & 0.952 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:22,True,22 & MZ option vs raw option & circular_block_bootstrap & 27 &  & 0.954 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:23,True,22 & MZ option vs raw option & circular_block_bootstrap & 44 &  & 0.936 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:24,True,22 & MZ option vs HAR(4) & HAC & 21 & 1.33 & 0.183 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:25,True,22 & MZ option vs HAR(4) & HAC & 27 & 1.41 & 0.158 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:26,True,22 & MZ option vs HAR(4) & HAC & 44 & 1.44 & 0.150 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:27,True,22 & MZ option vs HAR(4) & circular_block_bootstrap & 21 &  & 0.166 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:28,True,22 & MZ option vs HAR(4) & circular_block_bootstrap & 27 &  & 0.147 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:29,True,22 & MZ option vs HAR(4) & circular_block_bootstrap & 44 &  & 0.135 \\
